Word Length,Longest Word,Letters,Total Words,
7,nucleus,celnsuu,10,
7,glitter,egilrtt,11,
5,sloth,hlost,10,
6,celery,ceelry,9,
6,obtain,abinot,11,
6,bitter,beirtt,11,
6,season,aenoss,14,
6,enable,abeeln,11,
7,urinary,ainrruy,9,
7,outdoor,dooortu,12,
7,contact,accnott,9,
7,collect,ccellot,10,
7,correct,cceorrt,10,
7,ancient,aceinnt,9,
6,square,aeqrsu,13,
6,miller,eillmr,11,
6,writer,eirrtw,10,
6,turnip,inprtu,11,
6,select,ceelst,12,
7,furious,fiorsuu,9,
5,wings,ginsw,9,
6,wallet,aelltw,11,
6,pencil,ceilnp,10,
6,fallen,aeflln,10,
6,trying,ginrty,10,
6,ferret,eefrrt,9,
6,cornea,acenor,9,
6,repose,eeoprs,9,
6,temple,eelmpt,9,
6,glider,degilr,9,
7,origami,agiimor,9,
7,islands,adilnss,11,
7,alleged,adeegll,9,
7,entered,deeenrt,10,
8,maintain,aaiimnnt,10,
8,division,diiinosv,9,
5,olive,eilov,9,
6,martin,aimnrt,12,
6,dredge,ddeegr,10,
6,rising,giinrs,12,
7,morning,gimnnor,11,
7,digital,adgiilt,12,
7,massage,aaegmss,9,
7,luggage,aeggglu,10,
7,session,einosss,14,
7,snuggle,egglnsu,10,
7,outline,eilnotu,12,
8,addition,addiinot,12,
8,national,aailnnot,12,
8,business,beinsssu,10,
6,chisel,cehils,10,
6,graver,aegrrv,10,
6,collar,acllor,11,
6,spirit,iiprst,11,
6,sister,eirsst,13,
6,option,inoopt,11,
6,garget,aeggrt,12,
7,lingual,agillnu,13,
7,nations,ainnost,12,
8,clinical,acciilln,10,
6,stupid,dipstu,11,
6,helper,eehlpr,10,
6,mostly,lmosty,11,
7,quarter,aeqrrtu,11,
7,ceiling,cegiiln,11,
7,connect,ccennot,12,
7,sinless,eilnsss,15,
7,totally,allotty,11,
6,butter,berttu,11,
6,suites,eisstu,15,
6,router,eorrtu,15,
7,cuticle,cceiltu,12,
7,curious,ciorsuu,11,
7,bottles,belostt,10,
7,absence,abceens,9,
7,blender,bdeelnr,9,
8,evaluate,aaeeltuv,9,
6,hunter,ehnrtu,13,
6,remove,eemorv,9,
6,eraser,aeerrs,16,
6,talent,aelntt,16,
6,desert,deerst,12,
7,between,beeentw,10,
7,piranha,aahinpr,10,
7,guessed,deegssu,10,
7,neurons,ennorsu,13,
7,causing,acginsu,9,
6,lizard,adilrz,13,
6,killed,deikll,10,
6,merely,eelmry,10,
6,garlic,acgilr,13,
6,depend,ddeenp,10,
6,garden,adegnr,10,
7,dolphin,dhilnop,11,
7,cottage,acegott,12,
7,actuary,aacrtuy,10,
7,antacid,aacdint,11,
7,unscrew,cenrsuw,9,
7,century,cenrtuy,9,
7,putting,ginpttu,11,
7,muscles,celmssu,9,
7,classes,acelsss,11,
7,release,aeeelrs,13,
8,alliance,aaceilln,11,
8,rigorous,gioorrsu,12,
5,weird,deirw,10,
6,mitten,eimntt,13,
6,inhale,aehiln,14,
6,senior,einors,14,
6,regime,eegimr,10,
6,sector,ceorst,10,
7,missing,giimnss,12,
7,massive,aeimssv,9,
7,concern,ccennor,11,
7,message,aeegmss,10,
7,buttons,bnosttu,11,
7,scandal,aacdlns,10,
7,infants,afinnst,10,
7,colours,cloorsu,10,
8,beetroot,beeoortt,10,
6,damage,aadegm,10,
6,binder,bdeinr,9,
7,calcium,accilmu,9,
7,enemies,eeeimns,12,
7,goodies,degioos,10,
8,mounting,gimnnotu,10,
6,marlin,ailmnr,15,
6,saying,aginsy,12,
6,biceps,bceips,9,
6,update,adeptu,11,
6,rotten,enortt,17,
6,pursue,eprsuu,13,
7,usually,allsuuy,12,
7,adopted,addeopt,9,
7,flannel,aefllnn,11,
7,twitter,eirtttw,12,
6,acumen,acemnu,11,
6,submit,bimstu,12,
6,bumper,bempru,9,
6,stitch,chistt,9,
6,should,dhlosu,11,
6,unlike,eiklnu,11,
6,during,dginru,13,
6,summer,emmrsu,13,
6,bundle,bdelnu,12,
6,goblet,beglot,12,
6,eating,aegint,15,
6,nougat,agnotu,15,
6,ensure,eenrsu,17,
6,target,aegrtt,15,
6,prance,acenpr,9,
6,tripod,dioprt,12,
6,throne,ehnort,10,
6,intend,deinnt,14,
7,outcome,cemootu,11,
7,anemone,aeemnno,13,
7,drizzle,deilrzz,11,
7,imaging,aggiimn,10,
7,canteen,aceennt,13,
7,albumen,abelmnu,9,
7,reflect,ceeflrt,9,
7,diurnal,adilnru,12,
7,outlets,elosttu,14,
7,irrupts,iprrstu,10,
7,license,ceeilns,11,
7,nurture,enrrtuu,15,
8,cultural,acllrtuu,13,
8,levitate,aeeilttv,11,
8,illusion,iillnosu,17,
8,mountain,aimnnotu,11,
8,standard,aaddnrst,12,
8,planning,agilnnnp,9,
6,polite,eilopt,14,
6,empire,eeimpr,11,
6,throat,ahortt,13,
6,attest,aesttt,18,
6,rarely,aelrry,12,
6,entire,eeinrt,17,
6,singer,eginrs,13,
7,airtime,aeiimrt,11,
7,install,aillnst,15,
7,pennant,aennnpt,13,
7,popcorn,cnooppr,10,
7,dressed,ddeerss,14,
7,discuss,cdisssu,11,
7,stylist,ilsstty,14,
7,disease,adeeiss,12,
8,lollipop,illloopp,11,
8,rollover,elloorrv,12,
8,football,abflloot,10,
8,suddenly,ddelnsuy,10,
8,petition,eiinoptt,10,
8,tortilla,aillortt,14,
8,ultimate,aeilmttu,11,
5,sharp,ahprs,10,
6,police,ceilop,11,
6,beside,bdeeis,12,
6,friend,definr,9,
6,halter,aehlrt,11,
7,varsity,airstvy,11,
7,robbery,bbeorry,9,
7,evening,eeginnv,11,
7,enhance,aceehnn,9,
7,visuals,ailssuv,12,
7,seasons,aenosss,17,
7,climate,aceilmt,9,
7,schools,chlooss,9,
7,plotter,eloprtt,11,
8,language,aaegglnu,12,
6,taking,agiknt,12,
6,beaten,abeent,14,
6,volume,elmouv,10,
6,blinds,bdilns,12,
6,pigeon,eginop,12,
6,soviet,eiostv,12,
6,cereal,aceelr,14,
6,poison,inoops,13,
6,client,ceilnt,15,
6,decide,cddeei,10,
6,garter,aegrrt,15,
6,sensor,enorss,17,
7,account,accnotu,13,
7,dollars,adllors,13,
7,station,ainostt,15,
7,written,einrttw,12,
7,viruses,eirssuv,12,
7,burnish,bhinrsu,9,
7,tremble,beelmrt,10,
7,patient,aeinptt,11,
8,specific,ccefiips,9,
8,shinbone,behinnos,11,
8,criminal,aciilmnr,9,
8,eligible,beegiill,10,
8,meantime,aeeimmnt,10,
8,intimate,aeiimntt,11,
8,familiar,aafiilmr,9,
6,saving,aginsv,13,
6,female,aeeflm,11,
6,stingy,ginsty,14,
6,parrot,aoprrt,14,
7,anxiety,aeintxy,10,
7,believe,beeeilv,10,
7,victory,ciortvy,10,
7,council,ccilnou,12,
7,meaning,aegimnn,10,
7,limited,deiilmt,10,
8,mongoose,egmnooos,11,
8,handling,adghilnn,9,
6,import,imoprt,12,
6,oilman,ailmno,15,
6,bronze,benorz,9,
6,anchos,achnos,10,
6,barber,abberr,12,
6,inside,deiins,15,
6,condor,cdnoor,12,
6,seeing,eegins,15,
6,forest,eforst,10,
7,program,agmoprr,11,
7,volcano,aclnoov,12,
7,viaduct,acdituv,10,
7,glucose,ceglosu,12,
7,ability,abiilty,12,
7,further,efhrrtu,10,
7,trident,deinrtt,14,
7,science,cceeins,12,
7,ordered,ddeeorr,13,
7,imagine,aegiimn,10,
8,windmill,diillmnw,11,
8,sentence,ceeennst,15,
8,distrust,dirssttu,14,
8,confetti,cefinott,9,
8,engaging,aeggginn,11,
6,couple,celopu,11,
6,sesame,aeemss,14,
6,scares,acerss,12,
7,command,acdmmno,10,
7,citizen,ceiintz,9,
7,incense,ceeinns,14,
7,plunger,eglnpru,11,
8,warranty,aanrrtwy,9,
6,hammer,aehmmr,10,
6,cancer,accenr,13,
6,nebula,abelnu,15,
6,shrine,ehinrs,12,
7,mercury,cemrruy,9,
7,sitting,giinstt,16,
7,suggest,eggsstu,15,
7,decades,acddees,10,
7,pedicle,cdeeilp,9,
8,eminence,ceeeimnn,11,
8,fountain,afinnotu,11,
6,sudden,ddensu,15,
6,domain,adimno,12,
6,appeal,aaelpp,11,
6,region,eginor,16,
6,tennis,einnst,19,
7,arrival,aailrrv,14,
7,analyst,aalnsty,12,
7,extreme,eeemrtx,11,
7,natural,aalnrtu,18,
7,coroner,cenoorr,12,
7,outputs,opsttuu,12,
8,pipeline,eeiilnpp,12,
6,policy,cilopy,10,
6,sphinx,hinpsx,10,
6,debate,abdeet,13,
6,expand,adenpx,10,
6,copper,ceoppr,11,
6,greasy,aegrsy,11,
6,middle,ddeilm,13,
6,manure,aemnru,15,
6,mosaic,acimos,11,
6,scrubs,bcrssu,12,
6,fondue,defnou,12,
6,export,eoprtx,12,
6,genius,eginsu,16,
6,hurdle,dehlru,13,
7,artwork,akorrtw,12,
7,imitate,aeiimtt,14,
7,journey,ejnoruy,9,
7,corrupt,coprrtu,13,
7,biology,bgilooy,11,
7,helping,eghilnp,12,
7,satiate,aaeistt,20,
7,cascade,aaccdes,11,
7,content,cennott,16,
7,variant,aainrtv,15,
7,passion,ainopss,12,
7,expires,eeiprsx,9,
7,vaginal,aagilnv,11,
7,manager,aaegmnr,11,
7,current,cenrrtu,13,
7,dresser,deerrss,16,
7,focused,cdefosu,9,
7,rooster,eoorrst,15,
8,lifeless,eefillss,12,
8,amaranth,aaahmnrt,12,
8,tomorrow,mooorrtw,12,
8,strongly,glnorsty,11,
8,invasion,aiinnosv,13,
8,carriage,aacegirr,11,
8,reporter,eeoprrrt,12,
8,moreover,eemoorrv,9,
6,nature,aenrtu,21,
6,yogurt,gortuy,13,
6,salami,aailms,15,
6,border,bdeorr,13,
6,diaper,adeipr,11,
7,helpful,efhllpu,11,
7,hundred,ddehnru,14,
7,burrito,biorrtu,15,
7,assault,aalsstu,19,
7,geology,egglooy,11,
7,lateral,aaellrt,19,
7,carrier,aceirrr,14,
7,beliefs,beefils,10,
7,derived,ddeeirv,10,
7,sandals,aadlnss,16,
7,growing,gginorw,10,
8,cockatoo,acckooot,10,
8,portrait,aioprrtt,12,
6,normal,almnor,15,
6,gender,deegnr,15,
6,recall,acellr,14,
7,corsair,aciorrs,16,
7,doctors,cdoorst,13,
7,effects,ceeffst,10,
7,raccoon,accnoor,12,
7,prevent,eenprtv,11,
7,include,cdeilnu,11,
8,engineer,eeeginnr,15,
6,income,ceimno,13,
6,parade,aadepr,14,
6,palace,aacelp,12,
6,salmon,almnos,15,
6,debunk,bdeknu,10,
6,umpire,eimpru,12,
6,hanger,aeghnr,14,
6,street,eerstt,19,
6,heater,aeehrt,11,
7,survive,eirsuvv,15,
7,lasagna,aaaglns,17,
7,unicorn,cinnoru,15,
7,showing,ghinosw,9,
7,missile,eiilmss,12,
8,dandruff,addffnru,10,
8,overlook,eklooorv,12,
8,everyone,eeenorvy,9,
6,double,bdelou,14,
6,family,afilmy,9,
6,hardly,adhlry,10,
6,clover,celorv,12,
6,either,eehirt,14,
6,beggar,abeggr,13,
6,report,eoprrt,15,
6,relate,aeelrt,20,
7,cockpit,ccikopt,9,
7,mollusk,kllmosu,12,
7,moments,emmnost,13,
7,finesse,eefinss,15,
7,turning,ginnrtu,17,
7,changed,acdeghn,9,
7,printer,einprrt,14,
7,termite,eeimrtt,13,
8,annoying,aginnnoy,12,
8,academic,aaccdeim,9,
8,eighteen,eeeghint,11,
6,donkey,deknoy,10,
6,beluga,abeglu,14,
6,lesson,elnoss,21,
6,patent,aenptt,16,
6,prince,ceinpr,13,
6,reader,adeerr,16,
7,mixture,eimrtux,10,
7,consume,cemnosu,12,
7,blanket,abeklnt,10,
7,network,eknortw,10,
7,curtain,acinrtu,13,
7,devoted,ddeeotv,12,
7,explain,aeilnpx,11,
7,student,densttu,15,
8,likewise,eeiiklsw,9,
8,wineskin,eiiknnsw,10,
8,distinct,cdiinstt,15,
8,thorough,ghhoortu,9,
8,function,cfinnotu,11,
6,buckle,bceklu,10,
6,bonsai,abinos,15,
6,candle,acdeln,12,
6,latter,aelrtt,20,
7,benefit,beefint,13,
7,subsume,bemssuu,14,
7,immense,eeimmns,14,
7,barrier,abeirrr,15,
7,harmony,ahmnory,9,
7,veggies,eeggisv,12,
7,greeted,deeegrt,15,
7,bristly,bilrsty,13,
7,lifting,fgiilnt,13,
7,crucial,accilru,15,
7,crumple,celmpru,10,
7,indoors,dinoors,15,
7,delight,deghilt,11,
7,literal,aeillrt,17,
8,surround,dnorrsuu,18,
8,dropping,dginoppr,11,
8,vacation,aacinotv,11,
8,immortal,ailmmort,12,
8,dividend,dddeiinv,9,
8,painting,agiinnpt,11,
6,timely,eilmty,14,
6,easily,aeilsy,18,
6,cradle,acdelr,12,
6,asylum,almsuy,13,
6,temper,eemprt,14,
6,shorts,horsst,15,
6,dagger,adeggr,15,
6,almond,adlmno,14,
7,vanilla,aaillnv,14,
7,profile,efilopr,12,
7,waffles,aefflsw,9,
7,happens,aehnpps,10,
7,earlier,aeeilrr,21,
7,revenue,eeenruv,12,
7,javelin,aeijlnv,11,
7,planned,adelnnp,12,
7,insight,ghiinst,11,
7,protect,ceoprtt,12,
7,sailing,agiilns,15,
7,cartoon,acnoort,12,
8,marathon,aahmnort,12,
8,exercise,ceeeirsx,9,
8,midnight,dghiimnt,10,
8,interior,eiinorrt,17,
8,election,ceeilnot,13,
8,fighting,fgghiint,10,
8,changing,acgghinn,9,
8,horrible,behilorr,12,
6,camera,aacemr,13,
6,sundae,adensu,18,
6,arming,agimnr,15,
6,severe,eeersv,13,
6,reward,aderrw,11,
7,quetzal,aelqtuz,9,
7,ostrich,chiorst,11,
7,arrange,aaegnrr,18,
7,armorer,aemorrr,16,
7,clarity,acilrty,11,
7,enables,abeelns,14,
7,grouper,egoprru,12,
8,humanity,ahimntuy,9,
8,attitude,adeitttu,17,
8,doughnut,dghnotuu,10,
8,dominant,adimnnot,12,
8,catapult,aaclpttu,13,
8,pronouns,nnooprsu,13,
8,receiver,ceeeirrv,11,
5,acres,acers,17,
6,helmet,eehlmt,12,
6,health,aehhlt,13,
6,theory,ehorty,13,
6,peanut,aenptu,17,
6,kidney,deikny,10,
6,pigsty,gipsty,12,
6,social,acilos,17,
6,server,eerrsv,14,
7,coastal,aaclost,14,
7,cowbird,bcdiorw,11,
7,saffron,affnors,14,
7,library,abilrry,15,
7,mitosis,iimosst,16,
7,warfare,aaefrrw,13,
7,sunfish,fhinssu,13,
7,honored,dehnoor,12,
7,gradual,aadglru,17,
7,calling,acgilln,15,
7,awarded,aadderw,11,
7,gourmet,egmortu,14,
7,needles,deeelns,18,
7,explore,eeloprx,10,
7,cushion,chinosu,11,
7,tourist,iorsttu,18,
7,implied,deiilmp,10,
7,pottery,eoprtty,11,
7,trainee,aeeinrt,18,
7,despise,deeipss,12,
7,gadgets,adeggst,13,
7,circles,cceilrs,12,
7,greater,aeegrrt,15,
7,origins,giinors,15,
8,mouthful,fhlmotuu,12,
8,behavior,abehiorv,9,
8,commerce,cceemmor,11,
8,hedgehog,deegghho,11,
8,facility,acfiilty,10,
8,quantity,ainqttuy,10,
8,ambrosia,aabimors,12,
8,wildlife,defiillw,10,
8,deciding,cddegiin,11,
8,dumbbell,bbdellmu,9,
8,modeller,deellmor,12,
6,employ,elmopy,11,
6,proven,enoprv,14,
6,native,aeintv,15,
6,sleepy,eelpsy,14,
6,burned,bdenru,16,
6,winged,deginw,12,
6,stairs,airsst,21,
6,hotels,ehlost,12,
7,fishing,fghiins,12,
7,improve,eimoprv,10,
7,regular,aeglrru,16,
7,bravado,aabdorv,12,
7,tsunami,aimnstu,15,
7,farther,aefhrrt,11,
8,handball,aabdhlln,13,
8,whenever,eeehnrvw,10,
6,toecap,aceopt,14,
6,suffer,effrsu,14,
6,fourth,fhortu,13,
6,absorb,abbors,15,
6,mussel,elmssu,17,
6,trunks,knrstu,17,
6,castle,acelst,16,
6,racing,acginr,15,
7,concept,ccenopt,15,
7,reprove,eeoprrv,13,
7,iceberg,bceegir,13,
7,comment,cemmnot,14,
7,operate,aeeoprt,14,
7,justice,ceijstu,10,
8,civilian,aciiilnv,13,
8,hazelnut,aehlntuz,11,
8,deferred,ddeeefrr,11,
8,junction,cijnnotu,10,
8,carillon,acillnor,13,
6,custom,cmostu,16,
6,admire,adeimr,13,
6,beaver,abeerv,13,
6,knight,ghiknt,11,
6,forget,efgort,15,
6,really,aellry,14,
6,notice,ceinot,17,
6,sprout,oprstu,15,
6,minute,eimntu,17,
6,tender,deenrt,19,
7,biggest,beggist,16,
7,violate,aeilotv,12,
7,contest,cenostt,16,
7,juggler,eggjlru,14,
8,additive,addeiitv,11,
8,tactical,aacciltt,14,
8,recovery,ceeorrvy,9,
6,rather,aehrrt,16,
6,viewer,eeirvw,12,
7,lecture,ceelrtu,14,
7,decided,cdddeei,12,
7,varying,aginrvy,10,
7,meerkat,aeekmrt,11,
7,battery,abertty,12,
7,portion,inooprt,14,
7,degrees,deeegrs,14,
7,auction,acinotu,13,
8,sensible,beeilnss,16,
8,alveolar,aaellorv,12,
6,toward,adortw,16,
6,mallet,aellmt,18,
6,artery,aerrty,16,
6,driver,deirrv,14,
7,attempt,aempttt,15,
7,conquer,cenoqru,14,
7,compass,acmopss,10,
7,visited,deiistv,13,
7,seconds,cdenoss,14,
7,nursery,enrrsuy,19,
7,serious,eiorssu,19,
8,fishhook,fhhikoos,9,
8,audience,acdeeinu,13,
8,dramatic,aacdimrt,13,
6,notary,anorty,17,
6,scarab,aabcrs,14,
6,closer,celors,20,
6,create,aceert,17,
6,folder,deflor,16,
6,leader,adeelr,20,
6,devein,deeinv,13,
7,charity,achirty,9,
7,careful,aceflru,12,
7,nervous,enorsuv,15,
7,skimmer,eikmmrs,11,
7,tractor,acorrtt,18,
7,longest,eglnost,18,
7,economy,cemnooy,12,
7,sausage,aaegssu,18,
7,testing,eginstt,17,
7,linking,giiklnn,11,
8,silkworm,iklmorsw,11,
8,opponent,ennooppt,18,
8,priority,iioprrty,14,
8,bankrupt,abknprtu,11,
6,waiter,aeirtw,17,
6,wright,ghirtw,12,
6,treaty,aertty,17,
6,barrel,abelrr,17,
6,united,deintu,20,
6,filter,efilrt,14,
7,popular,aloppru,14,
7,blessed,bdeelss,17,
7,payment,aemnpty,10,
7,finance,acefinn,14,
7,depends,ddeenps,13,
7,writing,giinrtw,15,
8,extended,ddeeentx,13,
8,adequate,aadeeqtu,10,
8,biathlon,abhilnot,13,
8,training,agiinnrt,15,
6,pocket,cekopt,11,
6,cymbal,abclmy,11,
6,aspect,acepst,13,
6,rocket,cekort,13,
6,bangle,abegln,17,
6,median,adeimn,13,
6,remote,eemort,17,
6,secret,ceerst,19,
7,gymnast,agmnsty,12,
7,hottest,ehosttt,17,
7,besides,bdeeiss,16,
7,firefly,effilry,10,
7,boiling,bgiilno,16,
7,changes,aceghns,11,
7,trouble,belortu,15,
7,suspect,cepsstu,13,
7,driving,dgiinrv,14,
7,stadium,adimstu,13,
7,various,aiorsuv,16,
8,pacifier,acefiipr,11,
8,washbowl,abhlosww,10,
8,ablation,aabilnot,16,
8,resemble,beeelmrs,13,
8,contract,accnortt,13,
5,spray,aprsy,13,
5,feast,aefst,18,
6,mainly,ailmny,14,
6,module,delmou,16,
6,vendor,denorv,16,
6,paddle,addelp,16,
6,island,adilns,21,
6,welder,deelrw,15,
6,farmer,aefmrr,14,
6,repair,aeiprr,17,
7,compact,accmopt,13,
7,jealous,aejlosu,19,
7,stretch,cehrstt,15,
7,failure,aefilru,13,
7,bologna,abglnoo,17,
7,chances,accehns,10,
7,imagery,aegimry,12,
7,figures,efgirsu,13,
7,implies,eiilmps,13,
7,consult,clnostu,15,
7,wearing,aeginrw,13,
7,loading,adgilno,15,
7,conduit,cdinotu,16,
7,noticed,cdeinot,13,
7,grinder,deginrr,15,
8,stockpot,ckoopstt,11,
8,landfill,adfillln,16,
8,judicial,acdiijlu,14,
8,profound,dfnoopru,13,
8,overtone,eenoortv,14,
8,announce,acennnou,17,
8,adjacent,aacdejnt,12,
8,macaroon,aacmnoor,13,
8,definite,deefiint,12,
6,speedy,deepsy,14,
6,locate,acelot,19,
6,surely,elrsuy,19,
6,digest,degist,20,
6,fridge,defgir,15,
6,mobile,beilmo,15,
6,stride,deirst,18,
7,dogfish,dfghios,13,
7,gnocchi,ccghino,11,
7,perfume,eefmpru,13,
7,ravioli,aiilorv,18,
7,display,adilpsy,12,
7,diamond,addimno,15,
7,embassy,abemssy,11,
7,promote,emooprt,13,
7,nominal,ailmnno,19,
7,formula,aflmoru,12,
7,history,hiorsty,12,
7,episode,deeiops,13,
7,grilled,degillr,15,
8,formerly,eflmorry,10,
8,historic,chiiorst,12,
8,aptitude,adeipttu,13,
8,military,aiilmrty,12,
6,nearby,abenry,16,
6,simply,ilmpsy,13,
6,turban,abnrtu,19,
7,bombard,abbdmor,14,
7,defense,deeefns,16,
7,samurai,aaimrsu,19,
7,opening,eginnop,17,
7,capital,aacilpt,15,
7,removal,aelmorv,13,
7,service,ceeirsv,13,
7,species,ceeipss,12,
7,estates,aeesstt,20,
7,ferrous,eforrsu,15,
7,interim,eiimnrt,16,
8,wherever,eeehrrvw,12,
8,everyday,adeervyy,11,
8,canoeing,aceginno,14,
5,takes,aekst,17,
6,ballet,abellt,19,
6,choose,cehoos,13,
6,anchor,achnor,14,
6,dancer,acdenr,14,
6,flower,eflorw,13,
7,baptize,abeiptz,13,
7,harpoon,ahnoopr,14,
7,forever,eeforrv,13,
7,virtual,ailrtuv,19,
7,glimpse,egilmps,13,
7,located,acdelot,14,
7,against,aaginst,18,
7,clearly,acellry,13,
7,contain,acinnot,15,
7,letters,eelrstt,19,
8,simplify,fiilmpsy,9,
8,limiting,giiilmnt,16,
5,recap,acepr,15,
6,warmth,ahmrtw,12,
6,sticky,ciksty,11,
6,finger,efginr,15,
7,catwalk,aackltw,11,
7,primary,aimprry,13,
7,sulphur,hlprsuu,15,
7,grapple,aeglppr,14,
7,coaches,accehos,10,
7,advised,addeisv,13,
7,recycle,cceelry,13,
7,advisor,adiorsv,14,
7,veteran,aeenrtv,15,
7,scooter,ceoorst,16,
7,request,eeqrstu,12,
8,cucumber,bccemruu,12,
8,marriage,aaegimrr,14,
8,medicine,cdeeiimn,12,
8,incident,cdeiinnt,14,
